419,9,431,9,450,9,468,9,491,9,508,9,525,9,525,21
16,13,35,12,60,12,86,11,113,12,141,12,161,13,161,24
413,23,526,23,526,37,413,37,413,37,413,37,413,37,413,37
14,28,166,28,166,44,14,44,14,44,14,44,14,44,14,44
384,41,403,41,430,41,456,42,477,41,506,41,526,40,526,51
13,47,162,47,162,61,13,61,13,61,13,61,13,61,13,61
208,53,233,54,247,54,267,54,295,54,311,53,332,50,331,68
15,84,27,83,49,83,66,83,86,83,109,82,126,81,126,94
294,81,470,81,470,96,294,96,294,96,294,96,294,96,294,96
14,105,130,105,130,119,14,119,14,119,14,119,14,119,14,119
13,126,54,126,54,140,13,140,13,140,13,140,13,140,13,140
183,129,209,128,250,127,313,126,343,126,396,126,422,126,422,140
38,146,65,146,190,148,277,146,371,147,448,148,474,148,474,162
26,164,49,163,118,162,187,162,243,162,289,163,312,163,312,176
16,193,112,195,111,213,15,211,15,211,15,211,15,211,15,211
19,215,42,215,100,216,148,215,211,215,269,215,292,215,292,228
459,215,466,215,473,215,482,215,490,215,499,216,506,217,504,229
47,235,73,234,122,232,180,231,215,234,253,232,279,232,279,247
20,251,43,250,95,250,139,251,182,251,233,250,256,249,256,263
461,250,505,250,505,264,461,264,461,264,461,264,461,264,461,264
51,267,74,267,98,266,126,267,147,267,176,267,196,267,196,281
22,284,42,285,72,286,115,285,150,285,196,285,216,284,215,296
460,286,466,286,473,285,482,285,490,286,500,286,506,287,505,297
47,304,73,303,122,300,179,300,215,303,259,301,285,302,284,316
24,319,44,320,78,321,119,320,156,320,196,320,216,319,215,331
459,319,466,319,473,319,482,319,490,319,499,320,506,321,504,333
49,336,69,337,80,338,106,339,121,337,142,338,157,337,158,348
17,352,44,352,73,352,97,353,134,352,164,352,190,352,190,366
461,353,505,353,505,366,461,366,461,366,461,366,461,366,461,366
45,376,71,372,90,370,113,369,140,370,166,371,189,373,189,387
19,388,42,389,66,389,102,389,134,389,170,389,193,388,193,401
458,389,465,389,472,389,481,389,488,389,497,388,503,388,501,400
47,404,73,404,97,404,119,404,148,404,173,406,196,407,196,421
10,598,17,598,29,598,39,599,47,600,55,600,64,601,63,614
352,600,369,600,398,597,433,600,459,597,488,598,511,596,511,610
12,621,22,620,35,620,50,620,67,621,81,622,93,622,94,635
370,622,385,621,412,621,429,620,452,620,475,621,498,621,497,635
354,729,368,731,390,732,404,732,428,731,441,732,459,732,459,745
14,748,34,749,73,749,99,750,134,749,169,749,189,749,189,760
