Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy,Test Accuracy
1,7205267968.0,632973885440.0,0.5760486429326753,0.5754310344827587,0.577345731191885
2,575295651840.0,12235308007424.0,0.6156150863588298,0.6146551724137931,0.6162299239222316
3,9069358219264.0,142233814695936.0,0.45805428269298554,0.4504310344827586,0.44928148774302623
4,246297969819648.0,22049990901760.0,0.6529784984138174,0.6482758620689655,0.6437024513947591
5,37962662281216.0,17547166482432.0,0.7562566090941135,0.7685344827586207,0.7582417582417582
6,13721232474112.0,5566312742912.0,0.7351956291857596,0.7254310344827586,0.7320371935756551
7,12269041745920.0,4213266710528.0,0.7940606274233345,0.7797413793103448,0.7852916314454776
8,7184086204416.0,99225849298944.0,0.6697215368346845,0.6775862068965517,0.6715976331360947
9,82534742360064.0,61616028647424.0,0.6918399718011985,0.7030172413793103,0.6923076923076923
10,47538656772096.0,13823319736320.0,0.6538597109622841,0.634051724137931,0.6437024513947591
11,28104145764352.0,16919525588992.0,0.7017095523440254,0.6939655172413793,0.7011834319526628
12,40918216343552.0,2724342530048.0,0.8292210081071555,0.8228448275862069,0.8220625528317836
13,10131774373888.0,7788705611776.0,0.8316884032428622,0.8241379310344827,0.8254437869822485
14,6904987254784.0,12113070260224.0,0.8079837856891082,0.8004310344827587,0.8060016906170753
15,11076144988160.0,951059152896.0,0.850898836799436,0.8448275862068966,0.849112426035503
16,1052298969088.0,1639166246912.0,0.8480789566443426,0.8452586206896552,0.8385460693153001
17,3626208067584.0,540396847104.0,0.8438491364117024,0.8400862068965518,0.8372781065088757
18,6045168566272.0,191076859904.0,0.8549524145223828,0.853448275862069,0.8508030431107354
19,2109365682176.0,239045083136.0,0.8573316884032428,0.8547413793103448,0.8537616229923922
20,948661518336.0,289122058240.0,0.8573316884032428,0.8547413793103448,0.8537616229923922
21,1190879821824.0,340835139584.0,0.8573316884032428,0.8547413793103448,0.8537616229923922
22,434031165440.0,394437328896.0,0.8568910821290096,0.8538793103448276,0.8524936601859678
23,463503523840.0,464595779584.0,0.8568029608741629,0.8530172413793103,0.8520710059171598
24,503324803072.0,563292798976.0,0.8553930207966162,0.8521551724137931,0.8516483516483516
25,631161880576.0,490669408256.0,0.8568029608741629,0.8530172413793103,0.8520710059171598
26,506623229952.0,452830593024.0,0.8568910821290096,0.853448275862069,0.8520710059171598
27,488740782080.0,432945528832.0,0.8570673246387028,0.8543103448275862,0.8524936601859678
28,477146546176.0,409118769152.0,0.8573316884032428,0.8543103448275862,0.852916314454776
29,462047641600.0,384110067712.0,0.8573316884032428,0.8543103448275862,0.852916314454776
30,445396123648.0,360892858368.0,0.8571554458935495,0.8538793103448276,0.8516483516483516
