0,1,2,3,4,5,6,7
211,44,517,40,517,60,212,64
267,63,459,60,460,78,268,81
220,87,511,80,512,106,221,112
304,117,435,114,436,137,305,140
249,121,277,121,277,144,249,144
298,152,493,148,493,171,298,174
198,165,250,165,250,180,198,180
358,216,455,214,456,233,358,235
198,224,273,227,273,243,198,240
200,254,302,254,302,274,200,274
230,278,502,273,503,297,230,302
406,304,497,304,497,322,406,322
200,312,357,314,357,333,199,331
229,335,501,330,501,354,229,360
